Palabra;Pronun;Significado;id
a;eɪ;una,uno, un;920
a ;eɪ ;una,uno,un;1463
able;(éibEl);	Hábil, capaz;2
about;(abáut)  ;	Acerca de, alrededor;3
about ;əˈbaʊt ;sobre ,acerca;1464
above;əˈbʌv;arriba;921
above ;əˈbʌv ;sobre ,encima;1465
account;(acáunt)  ;	Cuenta, relación, informe;4
acid;(ásid)  ;	Ácido, agrio;5
across;(acrós)  ;	A través de;6
act;( akt) ;	Hecho, acción, acto;7
act ;ækt ;actuar ;1466
action;ˈækʃən;acción;922
actually;ˈækʧuəli;de hecho;923
add;æd;agregar;924
add ;æd ;añadir ;1467
addition;(adiSHon)  ;	Suma, adición;8
adjective;ˈæʤɪktɪv;adjetivo;925
adjustmen;(ad-yástmEnt)  ;	Ajuste, ajustamiento ;9
advertisement;(ud-véeRtizmEnt)  ;	Aviso, anuncio, publicidad ;10
afraid;əˈfreɪd;asustado;926
africa;ˈæfrəkə;África;927
after;(áafteR)  ;	Después de, detrás de;11
after ;ˈæftər ;después de ;1468
afternoon;ˌæftərˈnun;tarde;928
again;(aguéin)  ;	De nuevo, otra vez;12
again ;əˈɡɛn ;de nuevo ;1469
against;əˈɡɛnst;contra;929
against ;əˈɡɛnst ;contra ;1470
agaisnt;(aguéinst)  ;	Contra, en contra de;13
age;eɪʤ;edad;930
age ;eɪʤ ;edad ;1471
ago;əˈɡoʊ;atrás;931
ago ;əˈɡoʊ ;hace ;1472
agreed;əˈɡrid;acordado;932
agreement;(agríimEnt)  ;	Conformidad, contrato, pacto;14
ahead;əˈhɛd;adelante;933
air;(éaR)  ;	Aire;15
air ;ɛr ;aire ;1473
all;(óol)  ;	Todo, toda, todos, todas;16
all ;ɔl ;todo ;1474
allow;əˈlaʊ;permitir;934
almost;(óolmoUst)  ;	Casi;17
alone;əˈloʊn;solo;935
along;əˈlɔŋ;a lo largo de;936
already;ɔlˈrɛdi;ya;937
also;ˈɔlsoʊ;también;938
also ;ˈɔlsoʊ ;también ;1475
although;ˌɔlˈðoʊ;a pesar de;939
always;ˈɔlˌweɪz;siempre;940
always ;ˈɔlˌweɪz ;siempre ;1476
am;æm;soy;941
america;əˈmɛrəkə;America;942
among;(amáng)  ;	Entre, en medio de;18
amount;(amáunt)  ;	Cantidad;19
amusement;(amiúuzmEnt)  ;	Entretenimiento, diversión;20
an;(an)  ;	Un, una;1
an ;æn ;un ;1477
and;(and)  ;	Y;21
and ;ænd ;y ;1478
angle;(ánG-guel)  ;	Angulo;22
angry;(ánG-gri)  ;	Enojado, irritado, enfadado;23
animal;(ánimal)  ;	Animal;24
animal ;ˈænəməl ;animal ;1479
another;(anáDZar) anádaR) ;	Otro, otra;25
answer;(ing-ed) áanseR) ;	Contestación, respuesta ;26
answer ;ˈænsər ;responder ;1480
ant;(ant)  ;	Hormiga;27
any;(éni)  ;	Alguno, alguna, cualquiera;28
any ;ˈɛni ;cualquier ;1481
anything;ˈɛniˌθɪŋ;cualquier cosa;943
apparatus;(aparéitUs)  ;	Aparato;29
appear;əˈpɪr;aparecer;944
appear ;əˈpɪr ;aparecen ;1482
apple;(ápEL)  ;	Manzana;31
approval;(aprúuvAL)  ;	Aprobación;32
april;(éepril)  ;	Abril;30
arch;(aaAch)  ;	Arco;33
are;ɑr;son;945
area;ˈɛriə;área;946
area ;ˈɛriə ;zona ;1483
argument;(áaAguiumEnt)  ;	Argumento;34
arm;(ing-ed) aaRm) ;	Brazo, arma;35
arms;ɑrmz;brazos;947
army;(áaRmy)  ;	Ejército;36
around;əˈraʊnd;alrededor;948
arrived;əˈraɪvd;llegó;949
art;(aaRt)  ;	Arte;37
as;(az)  ;	Como, tan;38
as ;æz ;como ;1484
ask;æsk;preguntar;950
ask ;æsk ;pregunte a ;1485
at;(at)  ;	En, a;39
at ;æt ;en ;1486
attack;(ing-ed) aták) ;	Ataque, agresión;40
attempt;(ing-ed) atémpt) ;	Prueba, tentativa, ensayo ;41
attention;(aténSHon)  ;	Atención;42
attraction;(atrák-Shon)  ;	Atracción;43
august;(óoguest)  ;	Agosto;44
authority;(oozóriti)  ;	Autoridad ;45
automatic;(un-) ootomátik) ;	Automático ;46
awake;(awéik)  (auéik) ;	Despierto;47
away;(awéi)  (auéi) ;	Lejos, ausente, afuera;48
baby;(béibi)  ;	Nené;49
back;(er-ing-ed)  (bak) ;	Espalda, parte posterior;50
back ;bæk ;atrás ;1487
bad;(bad)  ;	Malo, mala, malas, mal;51
bag;(bag)  ;	Saco, bolsa;52
balance;(bálanz)  ;	Balanza, equilibrio, balance;53
ball;(bool)  ;	Pelota, globo, baile;54
band;(ing-ed)  band) ;	Venda, banda;56
bank;bæŋk;banco;951
base;(ing-ed) beis) ;	Base, pedestal;55
base ;beɪs ;base ;1488
basin;(béisn)  béisEn) ;	Palangana, lavatorio;57
basket;(báasket)  ;	Canasto;58
bath;(er-ing-ed)  baaz) ;	Baño;59
be;(bíi)  ;	Ser o estar;60
bear;bɛr;oso;952
beat;bit;derrotar;953
beautiful;(biútiful)  ;	Hermoso, bello;61
beauty ;ˈbjuti ;belleza ;1489
became;bɪˈkeɪm;convertirse;954
because;(bicóoz)  ;	Porque;62
become;bɪˈkʌm;convertirse;955
bed;(bed)  ;	Cama;63
bed ;bɛd ;cama ;1490
bee;(bii)  ;	Abeja;64
been;bɪn;estado;956
before;(bifóoR)  ;	Antes, delante de;65
before ;bɪˈfɔr ;antes ;1491
began;bɪˈɡæn;comenzó;957
began ;bɪˈɡæn ;comenzó ;1492
begin;bɪˈɡɪn;comenzar;958
behaviour;(bijéiviAR)  ;	Conducta, comportamiento;66
behind;bɪˈhaɪnd;detrás;959
behind ;bɪˈhaɪnd ;detrás ;1493
being;ˈbiɪŋ;ser;960
belief;(bilíif)  ;	Creencia, fe, opinión;67
believe;bɪˈliv;creer;961
bell;(bel)  ;	Campana;68
belong;bɪˈlɔŋ;pertenecer;962
below;bɪˈloʊ;abajo;963
bent;(un-)  bent) ;	Encorvado, doblado;69
berry;(bérri)  ;	Mora, frambuesa, baya;70
beside;bɪˈsaɪd;al lado de;964
best;(best)  ;	Lo mejor, el mejor;71
best ;bɛst ;mejor ;1494
better;(béter)  ;	Mejor;72
better ;ˈbɛtər ;mejor ;1495
between;(bituíin)  ;	Entre;73
between ;bɪˈtwin ;entre ;1496
big;bɪɡ;grande;965
big ;bɪɡ ;grande ;1497
bill;bɪl;factura;966
bird;(beeRd)  ;	Pájaro;74
bird ;bɜrd ;pájaro ;1498
birds;bɜrdz;aves;967
birth;(beeRz)  ;	Nacimiento;75
bit;(bit)  ;	Pedazo, trozo;76
bite;(báit)  ;	Mordisco, mordedura, bocado;77
bitter;(bíteR)  ;	Amargo;78
black;(blak)  ;	Negro;79
black ;blæk ;negro ;1499
blade;(bléid)  ;	Hoja, la parte cortante de tijeras, cortaplumas, etc;80
block;blɑk;bloquear;968
blood;(blad)  ;	Sangre;81
blow;(bloU)  ;	Golpe;82
blue;(bluu)  ;	Azul;83
blue ;blu ;azul ;1500
board;(booRd)  ;	Tabla, pensión;84
boat;(boUt)  ;	Bote;85
boat ;boʊt ;barco ;1501
body;(bódi)  ;	Cuerpo;86
body ;ˈbɑdi ;cuerpo ;1502
boiling;(bóiling)  ;	Hirviendo;87
bone;(boUn)  ;	Hueso;88
bones;boʊnz;huesos;969
book;(búk)  ;	Libro;89
book ;bʊk ;libro ;1503
boot;(buut)  ;	Bota;90
born;bɔrn;nacido;970
both;boʊθ;ambos;971
both ;boʊθ ;ambos ;1504
bottle;(-r, bottling, -d)  (bótEL); Botella;91
bottom;ˈbɑtəm;abajo;972
bought;bɑt;compró;973
box;(-er,-ing,-ed)  box) ;	Caja, boxeo(deporte;92
box ;bɑks ;caja ;1505
boy;(boi)  ;	Niño;93
boy ;bɔɪ ;chico ;1506
brain;(brein)  ;	Cerebro;94
brake;(breik)  ;	Freno, palanca;95
branch;(braanch)  ;	Rama, sucursal;96
branches;ˈbrænʧəz;sucursales;974
brass;(braas)  ;	Bronce;97
bread;(bred)  ;	Pan;98
break;breɪk;romper;975
breath;(er-ing-ed) ( brez) ;	Respiración, aliento ;99
brick;(brik)  ;	Ladrillo;100
bridge;(bri@) ( bri-y) ;	Puente;101
bright;(brait)  ;	Brillante, claro, ingenioso;102
bring;brɪŋ;traer;976
British;ˈbrɪtɪʃ;británico;977
broken;( bróUkEn) ;	Quebrado, roto;103
brother;(bráDZeR)  (brádeR) ;	Hermano;104
brought;brɔt;trajo;978
brought ;brɔt ;traído ;1507
brown;(braun)  ;	Moreno, castaño;105
brush;(er-ing-ed) ( bráSH) ;	Escobilla, cepillo, pincel ;106
bucket;(bákEt)  ;	Balde, cubo;107
build;bɪld;construir;979
build ;bɪld ;construir ;1508
builder;(bíldeR)  ;	Constructor;109
building;(bilding)  ;	Edificio;108
built;bɪlt;construido;980
bulb;(balb)  ;	Ampolleta, bulbo;110
burn;(er-ing-ed)  (beeRn) ;	Quemadura;111
burning;ˈbɜrnɪŋ;incendio;981
burst;(beeRst)  ;	Explosión, reventón, estallido;112
business;(bis-nEs)  ;	Negocio, ocupación;113
busy ;ˈbɪzi ;ocupado ;1509
but;(bat)  ;	Pero, excepto, no obstante;114
but ;bʌt ;pero ;1510
butter;(báteR)  ;	Mantequilla ;115
button;(ing-ed)  bátn)  (bátOn);Botón;116
buy;baɪ;comprar;982
by;(bai)  ;	Por, cerca de, al lado de;117
by ;baɪ ;por ;1511
cake;(quéik)  ;	Torta;118
call;kɔl;llamar;983
call ;kɔl ;llamada ;1512
came;keɪm;vino;984
came ;keɪm ;vino ;1513
camera;(cámera)  ;	Cámara fotográfica;119
can;kæn;poder;985
can /could ;kæn /kʊd ;puede /podía ;1514
can’t;kænt;no poder;986
cannot;ˈkænɑt;no puedo;987
canvas;(cánvas)  ;	Lona, vela de buque;120
capital;ˈkæpətəl;capital;988
captain;ˈkæptən;capitán;989
car;kɑr;auto;990
car ;kɑr ;coche ;1515
card;(caaRd)  ;	Tarjeta, naipe;121
care;(queAr)  ;	Cuidado, cautela ;122
care ;kɛr ;cuidado ;1516
carefully;ˈkɛrfəli;con cuidado;991
carriage;(cárri@)  (cárrid-y) ;	Carruaje, coche ;123
carry;ˈkæri;llevar;992
carry ;ˈkæri ;llevar ;1517
cart;(caaRt)  ;	Carretón;124
case;keɪs;caso;993
cat;(cat)  ;	Gato;125
catch;kæʧ;atrapar;994
cattle;ˈkætəl;ganado;995
caught;kɑt;atrapó;996
cause;( -r-causing-d)  (cóoz);	Causa, origen ;126
cause ;kɑz ;causa ;1518
cells;sɛlz;células;997
center;ˈsɛntər;centro;998
center ;ˈsɛntər ;centro ;1519
cents;sɛnts;centavos;999
century;ˈsɛnʧəri;siglo;1000
certain;(sétRtEn) ;	Cierto, seguro;127
certain ;ˈsɜrtən ;cierto ;1520
chain;(ing-ed)  (chein) ;	Cadena;128
chalk;(chook)  ;	Tiza, greda;129
chance;(chaans)  ;	Oportunidad, suerte, posibilidad, casualidad;130
change;(chein@)  (chein-y) ;	Cambio;131
change ;ʧeɪnʤ ;cambiar ;1521
chart;ʧɑrt;cuadro;1001
cheap;(chiip)  ;	Barato, común, vulgar;132
check;ʧɛk;controlar;1002
check ;ʧɛk ;comprobar ;1522
cheese;(chíiz)  ;	Queso;133
chemical;(quémicAl)  ;	Químico;134
chest;(chest)  ;	Pecho, arca, cofre;135
chief;(chiif)  ;	Principal, jefe;136
child;ʧaɪld;niño;1003
children;ˈʧɪldrən;niños;1004
children ;ˈʧɪldrən ;niños ;1523
chin;(chin)  ;	Barba, mentón ;137
choose;ʧuz;elegir;1005
church;(cheeRch)  (chéeRchE) ;	Iglesia ;138
circle;(seeRk-l)  (séeRquEL) ;	Círculo;139
city;ˈsɪti;ciudad;1006
city ;ˈsɪti ;ciudad ;1524
class;klæs;clase;1007
class ;klæs ;clase ;1525
clean;(er-ing-ed)  (clíin) ;	Limpio;140
clear;( un-) ( cliiAr);	Claro;141
clear ;klɪr ;borrar ;1526
climbed;klaɪmd;escalado;1008
clock;(clok)  ;	Reloj de pared;142
close;kloʊs;cerca;1009
close ;kloʊs ;cerrar ;1527
cloth;(cloz)  ;	Tela, paño, lienzo;143
clothes;kloʊðz;ropa;1010
cloud;(claud)  ;	Nube;144
coal;(coUL)  ;	Carbón;145
coast;koʊst;costa;1011
coat;(coUT)  ;	Chaqueta;146
cold;(coUld)  ;	Frio, resfriado;147
collar;(cólAR)  ;	Collar, cuello de camisa;148
color;ˈkʌlər;color;1012
color ;ˈkʌlər ;color ;1528
colour;(ing- ed)  (cólAR) ;	Color;149
column;ˈkɑləm;columna;1013
comb;(ing-ed)  (coUm) ;	Peineta, peine;150
come;(cam)  ;	Venir, llegar;151
comfort;(er-ing-ed)  (cámfoRt) ;	Comodidad, confort ;152
commitee;(comíti)  ;	Comité;153
common;( un-) (CómoOn);	Común, ordinario, vulgar;154
common ;ˈkɑmən ;común ;1529
company;(cámpani)  ;	Compañía, sociedad;155
compare;kəmˈpɛr;comparar;1014
comparision;(compáriSon)  ;	Comparación;156
competition;(competíSHon)  ;	Competencia;157
complete;compliit) ;	Completo;158
complete ;kəmˈplit ;completo ;1530
complex;cómplex) ;	Complicado;159
compound;ˈkɑmpaʊnd;compuesto;1015
condition;(condiSHon)  ;	Condición, requisito;160
conditions;kənˈdɪʃənz;condiciones;1016
connection;(conék-Shon)  ;	Conexión, enlace;161
conscious;cónSHos) ;	Consciente;162
consider;kənˈsɪdər;considerar;1017
consonant;ˈkɑnsənənt;consonante;1018
contain;kənˈteɪn;contener;1019
contain ;kənˈteɪn ;contener ;1531
continued;kənˈtɪnjud;continuado;1020
control;(-ler-ling-led) (contróUl);  Control;163
cook;(-ing-ed)  (cuk) ;	Cocinero, cocinera;164
cool;kul;Frío;1021
copper;(cópEr)  ;	Cobre;165
copy;(copier-copied)  (cópi) ;	Copia;166
cord;(cooRd)  ;	Cuerda, cordel;167
cork;(cooRk)  ;	Corcho;168
corn;kɔrn;maíz;1022
corner;ˈkɔrnər;esquina;1023
correct;kəˈrɛkt;correcto;1024
correctable ;kəˈrɛktəbᵊl ;corregible ;1532
cost;kɑst;costo;1025
cotton;(cotOn)  ;	Algodón;169
cough;(-ing-ed)  (cof) ;	Tos;170
could;kʊd;podría;1026
couldn’t;ˈkʊdənt;no pude;1027
count;kaʊnt;contar;1028
country;(cántri)  ;	País, campo, nación;171
country ;ˈkʌntri ;país ;1533
course;kɔrs;curso;1029
course ;kɔrs ;curso ;1534
cover;(ing-ed) ( cóvEr) ;	Cubierta, tapa;172
covered;ˈkʌvərd;cubierto;1030
cow;(cau)  ;	Vaca;173
cows;kaʊz;vacas;1031
crack;(crak)  ;	Estallido, trizadura ;174
create;kriˈeɪt;crear;1032
credit;(0r-ing-ed)  (crédit) ;	Crédito;175
cried;kraɪd;llorado;1033
crime;(craim)  ;	Crimen;176
crops;krɑps;cultivos;1034
cross;krɔs;cruz;1035
cross ;krɔs ;cruzar ;1535
crowd;kraʊd;multitud;1036
cruel;(crúel)  ;	Cruel;177
crush;(er-ing-ed)  (craSH) ;	Aplastamiento, aglomeración ;178
cry;(ing-cried)  (crai) ;	Grito;179
